,0,1,2,3
0,E9VIFTTD,1,0,http://dbpedia.org/resource/Aspirin
1,E9VIFTTD,2,0,http://dbpedia.org/resource/Aspirin
2,E9VIFTTD,3,0,http://dbpedia.org/resource/Aspirin
3,E9VIFTTD,4,0,http://dbpedia.org/resource/Ibuprofen
4,E9VIFTTD,5,0,http://dbpedia.org/resource/Ibuprofen
5,E9VIFTTD,6,0,http://dbpedia.org/resource/Ibuprofen
6,E9VIFTTD,7,0,http://dbpedia.org/resource/Ibuprofen
7,E9VIFTTD,8,0,http://dbpedia.org/resource/Ibuprofen
8,E9VIFTTD,9,0,http://dbpedia.org/resource/Ibuprofen
9,E9VIFTTD,10,0,http://dbpedia.org/resource/Nigrosin
10,E9VIFTTD,11,0,http://dbpedia.org/resource/Acetaminophen/butalbital
11,E9VIFTTD,12,0,http://dbpedia.org/resource/Aspirin
12,E9VIFTTD,13,0,http://dbpedia.org/resource/Ibuprofen
13,E9VIFTTD,14,0,http://dbpedia.org/resource/Naproxen
14,E9VIFTTD,15,0,http://dbpedia.org/resource/Sertraline
15,E9VIFTTD,1,1,http://dbpedia.org/resource/Aspirin
16,E9VIFTTD,2,1,http://dbpedia.org/resource/Aspirin
17,E9VIFTTD,3,1,http://dbpedia.org/resource/Aspirin
18,E9VIFTTD,4,1,http://dbpedia.org/resource/Ibuprofen
19,E9VIFTTD,5,1,http://dbpedia.org/resource/Ibuprofen
20,E9VIFTTD,6,1,http://dbpedia.org/resource/Ibuprofen
21,E9VIFTTD,7,1,http://dbpedia.org/resource/Ibuprofen
22,E9VIFTTD,8,1,http://dbpedia.org/resource/Ibuprofen
23,E9VIFTTD,9,1,http://dbpedia.org/resource/Ibuprofen
24,E9VIFTTD,10,1,http://dbpedia.org/resource/Naproxen
25,E9VIFTTD,11,1,http://dbpedia.org/resource/Chicago_Tylenol_murders
26,E9VIFTTD,12,1,http://dbpedia.org/resource/Aspirin
27,E9VIFTTD,13,1,http://dbpedia.org/resource/Ibuprofen
28,E9VIFTTD,14,1,http://dbpedia.org/resource/Naproxen
29,E9VIFTTD,15,1,http://dbpedia.org/resource/Sertraline
30,E9VIFTTD,1,2,http://dbpedia.org/resource/Aspirin
31,E9VIFTTD,2,2,http://dbpedia.org/resource/Aspirin
32,E9VIFTTD,3,2,http://dbpedia.org/resource/Aspirin
33,E9VIFTTD,4,2,http://dbpedia.org/resource/Ibuprofen
34,E9VIFTTD,5,2,http://dbpedia.org/resource/Ibuprofen
35,E9VIFTTD,6,2,http://dbpedia.org/resource/Ibuprofen
36,E9VIFTTD,7,2,http://dbpedia.org/resource/Ibuprofen
37,E9VIFTTD,8,2,http://dbpedia.org/resource/Ibuprofen
38,E9VIFTTD,9,2,http://dbpedia.org/resource/Ibuprofen
39,E9VIFTTD,10,2,http://dbpedia.org/resource/Naproxen
40,E9VIFTTD,11,2,http://dbpedia.org/resource/Paracetamol
41,E9VIFTTD,12,2,http://dbpedia.org/resource/Aspirin
42,E9VIFTTD,13,2,http://dbpedia.org/resource/Ibuprofen
43,E9VIFTTD,14,2,http://dbpedia.org/resource/Naproxen
44,E9VIFTTD,15,2,http://dbpedia.org/resource/Sertraline
45,E9VIFTTD,1,3,http://dbpedia.org/resource/Washing_out_the_mouth_with_soap
46,E9VIFTTD,2,3,http://dbpedia.org/resource/Washing_out_the_mouth_with_soap
47,E9VIFTTD,3,3,http://dbpedia.org/resource/Washing_out_the_mouth_with_soap
48,E9VIFTTD,4,3,http://dbpedia.org/resource/Intravenous_therapy
49,E9VIFTTD,5,3,http://dbpedia.org/resource/Intravenous_therapy
50,E9VIFTTD,6,3,http://dbpedia.org/resource/Intravenous_therapy
51,E9VIFTTD,7,3,http://dbpedia.org/resource/Intravenous_therapy
52,E9VIFTTD,8,3,http://dbpedia.org/resource/Intravenous_therapy
53,E9VIFTTD,9,3,http://dbpedia.org/resource/Intravenous_therapy
54,E9VIFTTD,10,3,http://dbpedia.org/resource/Washing_out_the_mouth_with_soap
55,E9VIFTTD,11,3,http://dbpedia.org/resource/Rectal_prolapse
56,E9VIFTTD,12,3,http://dbpedia.org/resource/Washing_out_the_mouth_with_soap
57,E9VIFTTD,13,3,http://dbpedia.org/resource/Intravenous_therapy
58,E9VIFTTD,14,3,http://dbpedia.org/resource/Washing_out_the_mouth_with_soap
59,E9VIFTTD,15,3,http://dbpedia.org/resource/Washing_out_the_mouth_with_soap
