,0,1,2,3
0,U6HC36KO,1,0,http://dbpedia.org/resource/Ángel_Castro
1,U6HC36KO,2,0,http://dbpedia.org/resource/Paul_Goodman
2,U6HC36KO,3,0,http://dbpedia.org/resource/Oliver_Hardy
3,U6HC36KO,4,0,http://dbpedia.org/resource/Andy_Murray
4,U6HC36KO,5,0,http://dbpedia.org/resource/Sean_Paul
5,U6HC36KO,6,0,http://dbpedia.org/resource/Terry_Ball
6,U6HC36KO,7,0,http://dbpedia.org/resource/Neil_Wilkinson
7,U6HC36KO,8,0,http://dbpedia.org/resource/Scott_Morrison
8,U6HC36KO,9,0,http://dbpedia.org/resource/Miami
9,U6HC36KO,10,0,http://dbpedia.org/resource/Beni_Department
10,U6HC36KO,11,0,http://dbpedia.org/resource/Kohei_Yamamoto
11,U6HC36KO,12,0,http://dbpedia.org/resource/Josh_Kelley
12,U6HC36KO,13,0,http://dbpedia.org/resource/Hide_(musician)
13,U6HC36KO,14,0,http://dbpedia.org/resource/Star_Maa
14,U6HC36KO,15,0,http://dbpedia.org/resource/Tomohiko_Itō_(director)
15,U6HC36KO,16,0,http://dbpedia.org/resource/Kanae_Yamamoto
16,U6HC36KO,17,0,http://dbpedia.org/resource/Akira_Nakamura
17,U6HC36KO,18,0,http://dbpedia.org/resource/Democratic_Party_(United_States)
18,U6HC36KO,19,0,http://dbpedia.org/resource/List_of_Shugo_Chara!_characters
19,U6HC36KO,20,0,http://dbpedia.org/resource/Tatsuya_Yamaguchi_(actor)
20,U6HC36KO,21,0,http://dbpedia.org/resource/Akira_Matsunaga
21,U6HC36KO,22,0,http://dbpedia.org/resource/Makoto_Watanabe
22,U6HC36KO,23,0,http://dbpedia.org/resource/Atsushi_Kobayashi
23,U6HC36KO,24,0,http://dbpedia.org/resource/Alphée_Poirier_(MP)
24,U6HC36KO,25,0,http://dbpedia.org/resource/Alphonse_Desjardins_(politician)
25,U6HC36KO,26,0,http://dbpedia.org/resource/Charles_Reid
26,U6HC36KO,27,0,http://dbpedia.org/resource/John_Hay
27,U6HC36KO,28,0,http://dbpedia.org/resource/John_F._McIntosh
28,U6HC36KO,29,0,http://dbpedia.org/resource/Thomas_Morris_(bishop)
29,U6HC36KO,30,0,http://dbpedia.org/resource/Alexandre-Antonin_Taché
30,U6HC36KO,31,0,http://dbpedia.org/resource/Phil_Stevens
31,U6HC36KO,32,0,http://dbpedia.org/resource/Thomas_Wood
32,U6HC36KO,33,0,http://dbpedia.org/resource/Benny_Fenton
33,U6HC36KO,34,0,http://dbpedia.org/resource/Richard_Dumas
34,U6HC36KO,35,0,http://dbpedia.org/resource/Brad_Smith
35,U6HC36KO,36,0,http://dbpedia.org/resource/Larry_Smith
36,U6HC36KO,37,0,http://dbpedia.org/resource/Jonathan_Robinson
37,U6HC36KO,38,0,http://dbpedia.org/resource/Kenji_Suzuki
38,U6HC36KO,39,0,http://dbpedia.org/resource/Jesse_Stone
39,U6HC36KO,40,0,http://dbpedia.org/resource/Harold_Andrews
40,U6HC36KO,41,0,http://dbpedia.org/resource/Neil_McCarthy
41,U6HC36KO,42,0,http://dbpedia.org/resource/Dundalk_F.C.
42,U6HC36KO,43,0,http://dbpedia.org/resource/Frederick_Groves
43,U6HC36KO,44,0,"http://dbpedia.org/resource/John_Middleton,_1st_Earl_of_Middleton"
44,U6HC36KO,45,0,http://dbpedia.org/resource/John_Quayle
45,U6HC36KO,46,0,http://dbpedia.org/resource/Noboru_Yamaguchi
46,U6HC36KO,47,0,http://dbpedia.org/resource/Harry_Baird
47,U6HC36KO,48,0,http://dbpedia.org/resource/Andy_Murray
48,U6HC36KO,49,0,http://dbpedia.org/resource/William_Austin
49,U6HC36KO,50,0,http://dbpedia.org/resource/Charles_Pollard
